smiles,Kode-1,Kode-2
c1ccc(cc1)C[C@H](C(=O)N[C@@H](CO)C(=O)N2CCC[C@@H]2C(=O)[O-])NC(=O)CNC(=O)[C@@H]3CCCN3C(=O)[C@@H]4CCCN4C(=O)[C@@H](CCCNC(=[NH2+])N)[NH3+],C98217025,P156201654
CC(=O)N[C@@H](Cc1c[nH]c2c1cccc2)C(=O)N[C@@H](CCC(=O)[O-])C(=O)N[C@@H](Cc3c[nH+]c[nH]3)C(=O)N[C@@H](CC(=O)[O-])C(=O)Nc4ccc5c(cc(=O)oc5c4)C(F)(F)F,C98216843,P156201790
c1ccc2cc(ccc2c1)NC(=O)[C@H](CSSC[C@@H](C(=O)Nc3ccc4ccccc4c3)NC(=O)CC[C@@H](C(=O)[O-])N)NC(=O)CC[C@@H](C(=O)[O-])[NH3+],C98216813,P156201841
c1ccc(cc1)C[C@@H](C(=O)N[C@@H](CO)C(=O)N2CCC[C@@H]2C(=O)[O-])NC(=O)CNC(=O)[C@@H]3CCCN3C(=O)[C@@H]4CCCN4C(=O)[C@@H](CCCNC(=[NH2+])N)N,C98217022,P156201908
c1ccc(cc1)C[C@H](C(=O)N[C@@H](CO)C(=O)N2CCC[C@@H]2C(=O)[O-])NC(=O)CNC(=O)[C@@H]3CCCN3C(=O)[C@@H]4CCCN4C(=O)[C@@H](CCCNC(=[NH2+])N)N,C98217025,P156201911
CCCCCCCCCCC/C=C/C(=O)N[C@@H]1[C@@H]([C@@H]([C@@H](O[C@@H]1O[C@@H]2[C@@H]([C@@H]([C@@H]([C@@H](O2)CO)O)O)NC(=O)C)C[C@@H]([C@@H]3[C@@H]([C@@H]([C@@H](O3)n4ccc(=O)[nH]c4=O)O)O)O)O)O,C98220797,P156210116
CCCCCCCCCCC/C=C/C(=O)N[C@@H]1[C@H]([C@@H]([C@@H](O[C@@H]1O[C@@H]2[C@@H]([C@@H]([C@@H]([C@@H](O2)CO)O)O)NC(=O)C)C[C@@H]([C@@H]3[C@@H]([C@@H]([C@@H](O3)n4ccc(=O)[nH]c4=O)O)O)O)O)O,C98220799,P156210118
c1ccc(c(c1)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(=O)[O-])C(=O)N[C@@H](CCCCNc2ccc(cc2[N+](=O)[O-])[N+](=O)[O-])C(=O)N3CCC[C@H]3C(=O)[O-])N,C98224537,P156217278
CCCC(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](CCCNC(=[NH2+])N)C(=O)N[C@@H](Cc3c[nH]c4c3cccc4)C(=O)N(C)CC(=O)N,C98224536,P156217389
CCCC(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](CCCNC(=[NH2+])N)C(=O)N[C@@H](Cc3c[nH]c4c3cccc4)C(=O)N(C)CC(=O)N,C98224536,P156217390
CCCCCCCCCCCCC/C=C/C(=O)N[C@@H]1[C@@H]([C@@H]([C@@H](O[C@@H]1O[C@@H]2[C@@H]([C@@H]([C@@H]([C@@H](O2)CO)O)O)NC(=O)C)C[C@@H]([C@@H]3[C@@H]([C@@H]([C@@H](O3)n4ccc(=O)[nH]c4=O)O)O)O)O)O,C98229782,P156227777
CCCCCCCCCCCCC/C=C/C(=O)N[C@@H]1[C@H]([C@@H]([C@@H](O[C@@H]1O[C@@H]2[C@@H]([C@@H]([C@@H]([C@@H](O2)CO)O)O)NC(=O)C)C[C@@H]([C@@H]3[C@@H]([C@@H]([C@@H](O3)n4ccc(=O)[nH]c4=O)O)O)O)O)O,C98229784,P156227779
Cc1cc(=O)oc2c1ccc(c2)NC(=O)[C@H](CC(=O)[O-])NC(=O)[C@H](Cc3cnc[nH]3)NC(=O)[C@H](CCC(=O)[O-])NC(=O)[C@H](Cc4c[nH]c5c4cccc5)NC(=O)C,C98229796,P156227798
Cc1cc(=O)oc2c1ccc(c2)NC(=O)[C@H](CC(=O)[O-])NC(=O)[C@H](Cc3c[nH+]c[nH]3)NC(=O)[C@H](CCC(=O)[O-])NC(=O)[C@H](Cc4c[nH]c5c4cccc5)NC(=O)C,C98229796,P156227992
CCCC[C@H](C(=O)N[C@@H](CCCNC(=[NH2+])N)C(=O)N[C@@H](Cc1ccccc1)C(=O)N)NC(=O)[C@@H](Cc2ccccc2)NC(=O)C,C04099180,P45216703
CCCC[C@@H](C(=O)N[C@@H](CCCNC(=[NH2+])N)C(=O)N[C@@H](Cc1ccccc1)C(=O)N)NC(=O)[C@@H](Cc2ccccc2)NC(=O)C,C04099179,P45216708
CCCCC[C@@H](C[C@@H](CC(=O)O[C@@H](CCCCC)C[C@@H](CC(=O)[O-])O[C@@H]1[C@@H]([C@@H]([C@@H]([C@@H](O1)CO)O)O)O)O)O[C@@H]2[C@@H]([C@@H]([C@@H]([C@@H](O2)CO)O)O)O,C67910384,P104261297
CCCCC[C@@H](C[C@H](CC(=O)O[C@@H](CCCCC)C[C@@H](CC(=O)[O-])O[C@@H]1[C@@H]([C@@H]([C@@H]([C@@H](O1)CO)O)O)O)O)O[C@@H]2[C@@H]([C@@H]([C@@H]([C@@H](O2)CO)O)O)O,C67910390,P104261303
C=C(CCO)C(=O)OC[C@@H]1[C@@H]([C@@H]([C@@H](CO1)OC(=O)C(=C)CCO[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)COC(=O)C(=C)CCO)O)O)O)O)O,C67911819,P104263410
